evaluation,ridge_alpha,r,r2,rmse,coefficient_l2_norm_unnormalized
in_sample,0.1,0.8809782833778865,0.7761227103059849,0.07387371985602768,0.12905813416602177
5fold_fixed_alpha,0.1,0.27159414967446,-0.19353360260013064,0.17056985220015794,0.12905813416602177
