bundle,layer,n_lemmas,n_subwords,partial_r_diff,ci95_low,ci95_high,p_boot_two_sided,holdout_mean_diff,holdout_positive_splits,holdout_n_splits
EV-lean,12,11,16,0.11149326069800317,0.009441985137519187,0.2170718352974618,0.0288,0.1388793424637748,20,20
FD-lean,21,18,24,-0.03997554385850133,-0.12201692032910667,0.05028302761705178,0.3668,-0.04427821224280955,2,20
