dimension,layer,pole,readable_rank,full_vocabulary_rank,token_id,token,english_zipf_frequency,coupling_r,occurred_in_reflections,corpus_count,passed_manuscript_filter
Final Decision,21,positive,5,5,12991,vertical,4.15,0.4373428523540497,False,0,False
Final Decision,21,positive,6,6,10436,orange,4.62,0.4348013699054718,False,0,False
Final Decision,21,positive,7,7,4919,House,5.71,0.4326108992099762,False,0,False
Final Decision,21,positive,8,9,16098,Cooper,4.26,0.42794886231422424,False,0,False
Final Decision,21,positive,9,12,18755,McC,3.06,0.42493242025375366,False,0,False
Final Decision,21,positive,10,13,27255,downtown,4.4,0.42489394545555115,False,0,False
Final Decision,21,positive,11,15,18829,swimming,4.43,0.42418375611305237,False,0,False
Final Decision,21,positive,12,16,14958,Death,5.4,0.42295923829078674,False,0,False
Final Decision,21,positive,13,18,13676,gray,4.45,0.4220271706581116,False,0,False
Final Decision,21,positive,14,19,69614,downstairs,3.72,0.4215204119682312,False,0,False
Final Decision,21,positive,15,20,12579,electro,3.58,0.4214300215244293,False,0,False
Final Decision,21,positive,16,21,27066,purchasing,4.06,0.42128846049308777,False,0,False
Final Decision,21,positive,17,22,11455,grey,4.48,0.419945627450943,False,0,False
Final Decision,21,positive,18,23,10762,weekend,4.93,0.41955652832984924,False,0,False
Final Decision,21,positive,19,24,21311,wireless,4.2,0.419333815574646,False,0,False
Final Decision,21,positive,20,25,52916,Coleman,3.77,0.41922637820243835,False,0,False
Final Decision,21,negative,1,3,10094,indeed,4.79,-0.4009094536304474,False,0,False
Final Decision,21,negative,2,19,15917,necessarily,4.48,-0.3580661714076996,True,1,False
Final Decision,21,negative,3,21,7546,although,5.3,-0.355957955121994,False,0,False
Final Decision,21,negative,4,30,4641,nor,4.78,-0.34618380665779114,False,0,False
Final Decision,21,negative,5,32,54013,moreover,4.16,-0.3445207178592682,False,0,False
Final Decision,21,negative,6,40,42365,differs,3.66,-0.33795973658561707,False,0,False
Final Decision,21,negative,7,52,54002,Certainly,5.0,-0.33146795630455017,False,0,False
Final Decision,21,negative,8,78,28815,constitute,3.85,-0.32005608081817627,False,0,False
Final Decision,21,negative,9,92,31626,Nevertheless,4.25,-0.3152185082435608,False,0,False
Final Decision,21,negative,10,109,20687,Perhaps,5.09,-0.31112754344940186,True,1,False
Final Decision,21,negative,11,132,8523,mere,4.13,-0.30310574173927307,False,0,False
Final Decision,21,negative,12,133,27078,unlike,4.57,-0.3026386797428131,False,0,False
Final Decision,21,negative,13,138,56793,expressly,3.48,-0.3019493520259857,False,0,False
Final Decision,21,negative,14,144,28683,Important,5.44,-0.2999591529369354,False,0,False
Final Decision,21,negative,15,145,106112,distinguishes,3.16,-0.2999400496482849,False,0,False
Final Decision,21,negative,16,150,42466,constitutes,3.72,-0.29942262172698975,False,0,False
Final Decision,21,negative,17,151,14659,Yet,5.54,-0.2992978096008301,False,0,False
Final Decision,21,negative,18,159,123427,insofar,3.06,-0.2966419756412506,False,0,False
Final Decision,21,negative,19,187,12014,depends,4.53,-0.2901427745819092,False,0,False
Final Decision,21,negative,20,220,94143,seeming,3.42,-0.28473180532455444,False,0,False
