marker,column,n,mean,sd,min,max
Belief volatility,mu03_avg,486,-0.6661595388744855,1.336142670558784,-4.129709751,2.462535657
Win-switch rate,wsr_avg,486,0.0958121380020576,0.1654014724527008,0.0,0.989583333
