dimension,label,layer,r,alpha_fold_1,alpha_fold_2,alpha_fold_3,alpha_fold_4,alpha_fold_5,p_pearson_approx,q_bh_fdr_130_approx,reject_bh_fdr_05,inference_status
confidence_continuous,Confidence,11,0.3168910321924717,0.1,0.1,0.1,0.1,0.1,8.479179048254326e-13,9.109861787380681e-13,True,exploratory Pearson approximation
confidence_continuous,Confidence,12,0.319534016167152,0.1,0.1,0.1,0.1,0.1,5.34785743625457e-13,5.793512222609117e-13,True,exploratory Pearson approximation
confidence_continuous,Confidence,13,0.3833176669474553,0.1,0.1,0.1,0.1,0.1,1.8564448646708424e-18,2.1548020750643704e-18,True,exploratory Pearson approximation
confidence_continuous,Confidence,14,0.3742443612476107,0.1,0.1,0.1,0.1,0.1,1.3250972925323719e-17,1.5110758599053363e-17,True,exploratory Pearson approximation
confidence_continuous,Confidence,15,0.3849065860074662,0.1,0.1,0.1,0.1,0.1,1.307494005936456e-18,1.5593965208416448e-18,True,exploratory Pearson approximation
confidence_continuous,Confidence,16,0.43149072485555345,0.1,0.1,0.1,0.1,0.1,1.8527374040562877e-23,2.3613319855619352e-23,True,exploratory Pearson approximation
confidence_continuous,Confidence,17,0.3678322400408731,0.1,0.1,0.1,0.1,0.1,5.1224939490639695e-17,5.740725977399276e-17,True,exploratory Pearson approximation
confidence_continuous,Confidence,18,0.37129284327707857,0.1,0.1,0.1,0.1,0.1,2.4784549397816325e-17,2.801731671057498e-17,True,exploratory Pearson approximation
confidence_continuous,Confidence,19,0.38449583314395613,0.1,0.1,0.1,0.1,0.1,1.4317780333534787e-18,1.6921013121450202e-18,True,exploratory Pearson approximation
confidence_continuous,Confidence,20,0.38407664877616193,0.1,0.1,0.1,0.1,0.1,1.5705937420306266e-18,1.8394341122881214e-18,True,exploratory Pearson approximation
confidence_continuous,Confidence,21,0.38721993750668154,0.1,0.1,0.1,0.1,0.1,7.821606358904542e-19,9.414896543125839e-19,True,exploratory Pearson approximation
confidence_continuous,Confidence,22,0.4000498803629876,0.1,0.1,0.1,0.1,0.1,4.199549513869543e-20,5.1022564187200053e-20,True,exploratory Pearson approximation
confidence_continuous,Confidence,23,0.40833878453483635,0.1,0.1,0.1,0.1,0.1,5.9256218025743675e-21,7.336484136520645e-21,True,exploratory Pearson approximation
confidence_continuous,Confidence,24,0.37494280403527713,0.1,0.1,0.1,0.1,0.1,1.1415349804352174e-17,1.313270331474144e-17,True,exploratory Pearson approximation
confidence_continuous,Confidence,25,0.3390552942566159,0.1,0.1,0.1,0.1,0.1,1.5402657098702662e-14,1.711406344300296e-14,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,0,0.47166708674487934,0.1,0.1,0.1,0.1,0.1,2.7299915232036083e-28,4.328035341664257e-28,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,1,0.4682158819572095,0.1,0.1,0.1,0.1,0.1,7.530749846213282e-28,1.1517617411855607e-27,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,2,0.5027915937365519,0.1,0.1,0.1,0.1,0.1,1.686979402760775e-32,2.885622662617115e-32,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,3,0.4891098916994636,0.1,0.1,0.1,0.1,0.1,1.350878814410653e-30,2.2514646906844213e-30,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,4,0.486282162655868,0.1,0.1,0.1,0.1,0.1,3.261640696737245e-30,5.3001661321980224e-30,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,5,0.5145294625824011,0.1,0.1,0.1,0.1,0.1,3.342424584371616e-34,6.119932337581832e-34,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,6,0.5659783122289074,0.1,0.1,0.1,0.1,0.1,1.6616273616966086e-42,4.408399122868554e-42,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,7,0.5764364362636502,0.1,0.1,0.1,0.1,0.1,2.232379433427556e-44,7.078276252331275e-44,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,8,0.5614918430040827,0.1,0.1,0.1,0.1,0.1,1.0074878823261927e-41,2.4711966924982084e-41,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,9,0.5700145305663226,0.1,0.1,0.1,0.1,0.1,3.2068088213540554e-43,9.062720582087548e-43,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,10,0.564019317940343,0.1,0.1,0.1,0.1,0.1,3.6624287451232774e-42,9.335602683647571e-42,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,11,0.5690196500577008,0.1,0.1,0.1,0.1,0.1,4.8205350814803445e-43,1.333339490622223e-42,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,12,0.5785693513547374,0.1,0.1,0.1,0.1,0.1,9.092994448320685e-45,3.110761258636024e-44,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,13,0.5751375308577831,0.1,0.1,0.1,0.1,0.1,3.845112954148374e-44,1.190154009617354e-43,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,14,0.56679119951042,0.1,0.1,0.1,0.1,0.1,1.195179919588397e-42,3.2369456155519084e-42,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,15,0.5220765137469578,0.1,0.1,0.1,0.1,0.1,2.4749209644321614e-35,4.66289457066929e-35,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,16,0.5326021019725492,0.1,0.1,0.1,0.1,0.1,5.871858665390574e-37,1.1743717330781148e-36,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,17,0.5284357995455027,0.1,0.1,0.1,0.1,0.1,2.622569612440031e-36,5.0885679047343886e-36,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,18,0.5375631395334852,0.1,0.1,0.1,0.1,0.1,9.615223729614684e-38,1.984093785476046e-37,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,19,0.531074716525352,0.1,0.1,0.1,0.1,0.1,1.0188257289050913e-36,2.0067779508736646e-36,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,20,0.5433898572323668,0.1,0.1,0.1,0.1,0.1,1.1045965253778092e-38,2.354058168837954e-38,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,21,0.5247053519972966,0.1,0.1,0.1,0.1,0.1,9.841871462798879e-36,1.8815342502409622e-35,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,22,0.5394310155068125,0.1,0.1,0.1,0.1,0.1,4.82722005094115e-38,1.0121590429392734e-37,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,23,0.5503926629110951,0.1,0.1,0.1,0.1,0.1,7.747483342442473e-40,1.766969885118459e-39,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,24,0.534366104484292,0.1,0.1,0.1,0.1,0.1,3.096373284859226e-37,6.2895082348703025e-37,True,exploratory Pearson approximation
evaluation_continuous,Evaluation,25,0.5211757725442436,0.1,0.1,0.1,0.1,0.1,3.388282427313958e-35,6.29252450786878e-35,True,exploratory Pearson approximation
final_decision_continuous,Final decision,0,0.5120569619620114,0.1,0.1,0.1,0.1,0.1,7.732444457269894e-34,1.396135804784842e-33,True,exploratory Pearson approximation
final_decision_continuous,Final decision,1,0.5042356334821803,0.1,0.1,0.1,0.1,0.1,1.0498867179260648e-32,1.8198036444051792e-32,True,exploratory Pearson approximation
final_decision_continuous,Final decision,2,0.5643878128740832,0.1,0.1,0.1,0.1,0.1,3.1577661221869995e-42,8.210191917686198e-42,True,exploratory Pearson approximation
final_decision_continuous,Final decision,3,0.5482407724420383,0.1,0.1,0.1,0.1,0.1,1.7647586517999887e-39,3.955493529896526e-39,True,exploratory Pearson approximation
final_decision_continuous,Final decision,4,0.5726441131542237,0.1,0.1,0.1,0.1,0.1,1.084602380474775e-43,3.1332957658160163e-43,True,exploratory Pearson approximation
final_decision_continuous,Final decision,5,0.5921013527884551,0.1,0.1,0.1,0.1,0.1,2.605057907048738e-47,9.407153553231552e-47,True,exploratory Pearson approximation
final_decision_continuous,Final decision,6,0.561173710988358,0.1,0.1,0.1,0.1,0.1,1.143638209665138e-41,2.7532030973419985e-41,True,exploratory Pearson approximation
final_decision_continuous,Final decision,7,0.5465078359257234,0.1,0.1,0.1,0.1,0.1,3.409774744938061e-39,7.513062997321151e-39,True,exploratory Pearson approximation
final_decision_continuous,Final decision,8,0.5548464061212725,0.1,0.1,0.1,0.1,0.1,1.3832456030752108e-40,3.26948960726868e-40,True,exploratory Pearson approximation
final_decision_continuous,Final decision,9,0.5514245074042848,0.1,0.1,0.1,0.1,0.1,5.2095863586870755e-40,1.209368261838071e-39,True,exploratory Pearson approximation
final_decision_continuous,Final decision,10,0.5742995912930935,0.1,0.1,0.1,0.1,0.1,5.453661049444841e-44,1.6487812475065796e-43,True,exploratory Pearson approximation
final_decision_continuous,Final decision,11,0.5771378779032958,0.1,0.1,0.1,0.1,0.1,1.6626716061522963e-44,5.403682719994963e-44,True,exploratory Pearson approximation
final_decision_continuous,Final decision,12,0.5457058334668132,0.1,0.1,0.1,0.1,0.1,4.618932845847243e-39,1.0007687832669027e-38,True,exploratory Pearson approximation
final_decision_continuous,Final decision,13,0.5829845692738829,0.1,0.1,0.1,0.1,0.1,1.3870385079990519e-45,4.873378541618291e-45,True,exploratory Pearson approximation
final_decision_continuous,Final decision,14,0.563908748885559,0.1,0.1,0.1,0.1,0.1,3.828897964551372e-42,9.57224491137843e-42,True,exploratory Pearson approximation
final_decision_continuous,Final decision,15,0.5779608540884664,0.1,0.1,0.1,0.1,0.1,1.1756535248883845e-44,3.9188450829612816e-44,True,exploratory Pearson approximation
