condition,patch_layer,mean_delta,ci95_low,ci95_high,p_signflip_exact,p_maxstat_fwer_exact
main,0,-0.017425094038605846,-0.0353145161291996,0.00047151610725375915,0.08612060546875,0.39459228515625
main,1,-0.017191133195044953,-0.037666154375298126,0.002830397760047521,0.13238525390625,0.52789306640625
main,2,-0.023124085806627427,-0.050844462415666855,0.003899460294191621,0.139892578125,0.53729248046875
main,3,-0.018328292154520528,-0.05078481905119844,0.01040308889178558,0.2962646484375,0.82806396484375
main,4,-0.01813401725376881,-0.05564329397540412,0.014304468766279764,0.39117431640625,0.90447998046875
main,5,-0.019491711916031006,-0.05278492491959567,0.011862832211974022,0.28826904296875,0.831298828125
main,6,-0.009104554193738965,-0.049157680508749135,0.024290681258347203,0.655517578125,0.9993896484375
main,7,-0.012348687350943159,-0.051605950613525395,0.02084233643587449,0.54229736328125,0.99169921875
main,8,-0.018317066995978716,-0.057439528175151855,0.017443322559643593,0.39630126953125,0.93603515625
main,9,-0.021066483134340445,-0.06506360089348547,0.017746729493582632,0.3609619140625,0.914306640625
main,10,-0.02681642431087462,-0.0711486994395652,0.011893051161812381,0.246337890625,0.76373291015625
main,11,-0.03792400621452487,-0.0885628942569355,0.008634244332318021,0.164794921875,0.60406494140625
main,12,-0.050687959392307615,-0.10660520687432477,-0.0012702137455722308,0.0845947265625,0.399169921875
main,13,-0.06398828161820146,-0.12580397024872542,-0.011353307756957351,0.0380859375,0.27056884765625
main,14,-0.07160622225554979,-0.13784632983809683,-0.0118916083226303,0.034912109375,0.23492431640625
main,15,-0.0759168852907282,-0.14347766483109445,-0.019783908039976757,0.022216796875,0.19512939453125
main,16,-0.0941424234971829,-0.17176586732575683,-0.027915155697261832,0.01055908203125,0.1446533203125
main,17,-0.10129189444214698,-0.1689241877949661,-0.038424183602735223,0.00653076171875,0.0794677734375
main,18,-0.10780604829280743,-0.18639013873889904,-0.03286210112914491,0.0137939453125,0.10394287109375
main,19,-0.11679948602974331,-0.19514324276608103,-0.04257357680957403,0.00811767578125,0.071533203125
main,20,-0.11947400133976543,-0.21762675428789732,-0.03067658527074943,0.02294921875,0.156005859375
main,21,-0.11756166632573559,-0.22586129429867555,-0.014320837312157421,0.0484619140625,0.25433349609375
main,22,-0.11246499572382909,-0.21853530873511448,-0.0021847318777176296,0.07220458984375,0.33990478515625
main,23,-0.09965594992169419,-0.21052213979840664,0.010035606153723745,0.1143798828125,0.47064208984375
main,24,-0.11432887195447408,-0.2376781461278314,0.004548824571154706,0.09381103515625,0.40899658203125
main,25,-0.03354357131865381,-0.06508440512978624,-0.0021199709943068934,0.065185546875,0.3203125
reversed_directionality,0,-0.014722762388647346,-0.0352235813638682,0.002588439255770543,0.08612060546875,0.39459228515625
reversed_directionality,1,-0.010777297641629694,-0.02777535527246022,0.0045908083607259734,0.13238525390625,0.52789306640625
reversed_directionality,2,0.0035488701216482075,-0.01742118181323453,0.023977255405960445,0.139892578125,0.53729248046875
reversed_directionality,3,0.020905492503317222,-0.005460063146821056,0.048326502491629356,0.2962646484375,0.82806396484375
reversed_directionality,4,0.03449138716511362,-0.0038208309299671518,0.0769652187326694,0.39117431640625,0.90447998046875
reversed_directionality,5,0.03482673367855895,-0.010148581098674336,0.08665839562903545,0.28826904296875,0.831298828125
reversed_directionality,6,0.05074978939644031,-0.005411337883243422,0.11470008997358837,0.655517578125,0.9993896484375
reversed_directionality,7,0.053589155929694605,-0.005983965208946218,0.11810693741598087,0.54229736328125,0.99169921875
reversed_directionality,8,0.041991513180887494,-0.016630383569522608,0.10561633282271173,0.39630126953125,0.93603515625
reversed_directionality,9,0.04432699656011747,-0.018965577653341937,0.1145153276564757,0.3609619140625,0.914306640625
reversed_directionality,10,0.045822271931741335,-0.022836482276968762,0.12099234831728545,0.246337890625,0.76373291015625
reversed_directionality,11,0.05299745509439373,-0.02395782583144263,0.13209835441217205,0.164794921875,0.60406494140625
reversed_directionality,12,0.059375494259648914,-0.019643980602186136,0.14103820598169217,0.0845947265625,0.399169921875
reversed_directionality,13,0.059546071366275224,-0.0076608880436241054,0.13436407738527717,0.0380859375,0.27056884765625
reversed_directionality,14,0.05634397861458072,-0.012470231334357162,0.12892193472447236,0.034912109375,0.23492431640625
reversed_directionality,15,0.06898002933468955,-0.003632213837080362,0.1416403639116184,0.022216796875,0.19512939453125
reversed_directionality,16,0.06618233740185131,-0.00833959770665552,0.14028527029029209,0.01055908203125,0.1446533203125
reversed_directionality,17,0.08933793300149834,0.009974103551697184,0.1699417926744184,0.00653076171875,0.0794677734375
reversed_directionality,18,0.1017382078108498,0.0059235694763970104,0.19213751252084002,0.0137939453125,0.10394287109375
reversed_directionality,19,0.0932630373220477,-0.006699203865098583,0.19767970251047837,0.00811767578125,0.071533203125
reversed_directionality,20,0.1066155103552011,-0.010897253605130303,0.21061469440410072,0.02294921875,0.156005859375
reversed_directionality,21,0.09651211038335222,-0.021826910956661956,0.2166556004496782,0.0484619140625,0.25433349609375
reversed_directionality,22,0.09340766975019785,-0.03853404602473579,0.2232644005743368,0.07220458984375,0.33990478515625
reversed_directionality,23,0.09222359413606915,-0.04321521370848492,0.2269583866362099,0.1143798828125,0.47064208984375
reversed_directionality,24,0.10463481863463911,-0.046391316734170504,0.25514307469511344,0.09381103515625,0.40899658203125
reversed_directionality,25,0.03649986294581784,-0.004898587475579155,0.07991928417542306,0.065185546875,0.3203125
