variable,n,mean,sd,min,median,max
raw_wsr,486,0.0958121380020576,0.1654014724527008,0.0,0.020204081999999998,0.989583333
length_residualized_wsr,486,-1.9097663551165244e-16,0.15629036778807587,-0.18997411794389246,-0.04696575216578115,0.9563778428000393
