token_id,token,corpus_count,r_ev,r_fd,r_wsr_l12,r_wsr_l21,r_mu03_l12,r_mu03_l21,delta
2277,really,66,-0.27337411985329324,-0.11379003472198848,-0.10321033587332125,-0.055203127816507824,-0.06100020355812889,-0.01589721258682331,-0.15958408513130476
4630,someone,16,-0.25086583843095833,0.13538777122670176,-0.1270004745904516,-0.07485480694172933,-0.06199507404025824,-0.04283410496899509,-0.3862536096576601
7385,giving,27,-0.2354064553562571,0.22969424923452136,-0.13128760468635128,-0.08347431769830294,-0.10537060473564029,-0.04737127291582567,-0.46510070459077846
6222,positive,20,0.05864437828758243,0.31728727014991787,-0.13920976312075575,-0.10250960801055872,-0.1270830103963932,-0.09312545225944918,-0.25864289186233547
7716,score,20,-0.05366127543747238,0.19130770952083456,-0.10797287018171617,-0.07246061652808648,-0.09989030300083482,-0.052448752051803216,-0.24496898495830693
1492,then,86,-0.08977656146467222,0.14400758273536066,-0.16617380981300123,-0.07944528964365455,-0.09532796932886875,0.004102291812451163,-0.23378414420003288
7052,changed,33,-0.16443791719136167,0.02939117257418384,-0.07882395359359008,-0.02949916400994224,-0.021945670774945605,-0.024260170540593668,-0.1938290897655455
3418,try,25,-0.22443223064358914,0.0782978889839658,-0.10816852627981699,-0.10664681187716488,-0.0885104936169123,-0.0733886529258489,-0.3027301196275549
2550,another,39,-0.10086915258623594,0.15729746591766627,-0.12070804920073532,-0.0901337504435265,-0.08874528671843865,-0.040839695067847646,-0.2581666185039022
871,go,15,-0.19451995292541915,0.08894431794904335,-0.1402549927106829,-0.13745217479750374,-0.09705365896507485,-0.10444200641299163,-0.2834642708744625
1355,back,24,-0.14385331383121175,0.29490276323665754,-0.18684099712920318,-0.18240812252476474,-0.15817125514643152,-0.17413930460216157,-0.4387560770678693
1174,them,22,-0.23639091186447275,0.16887490426652077,-0.10396755760999936,-0.06842939554113979,-0.011018137626566822,-0.004166615560813709,-0.40526581613099355
47630,tended,5,-0.09323268284188017,0.03734031987061375,-0.15856601672551174,-0.014450270534337293,-0.15356331868408177,-0.0009750723366096833,-0.13057300271249392
1552,person,95,-0.1984210219159112,0.04569498559806485,-0.12983133427896254,-0.11216038595895894,-0.08953316908604236,-0.08605314549231254,-0.24411600751397605
1064,who,32,-0.31488462451326577,0.055430040370703315,-0.17685192073932302,-0.057411405906444876,-0.11304562913429615,0.019129300678129423,-0.3703146648839691
1426,good,31,-0.23555960029679168,0.061510415431678706,-0.15144836555583047,-0.11760682646610349,-0.10168458660652865,-0.053407789511422436,-0.29707001572847036
16382,scores,18,0.1427312049502387,0.17651059205424174,-0.06433160422864667,-0.03278786272098402,-0.05398203261591593,-0.034561642133052524,-0.03377938710400305
