dimension,layer,minimum_corpus_count,n_content_tokens,spearman_rho,spearman_p,manuscript_filter
Evaluation,12,1,984,0.3295560368785133,2.334735906090075e-26,False
Final Decision,21,1,984,-0.614469354034055,3.2666782739496593e-103,False
Evaluation,12,2,488,0.2052483550488297,4.849089474615206e-06,False
Final Decision,21,2,488,-0.6465259577125552,4.203648653696162e-59,False
Evaluation,12,5,241,0.052632797229175965,0.41599071589713077,True
Final Decision,21,5,241,-0.6746279277116698,2.3376207245524926e-33,True
Evaluation,12,10,126,-0.06948631421072365,0.4394373870914938,False
Final Decision,21,10,126,-0.6525954255718036,1.2396758352465603e-16,False
