dimension,layer,n_tokens,spearman_rho,spearman_p,bootstrap_ci95_low,bootstrap_ci95_high
Evaluation,12,241,0.052632797229175965,0.41599071589713077,-0.3825240689619698,0.3892017163334591
Final Decision,21,241,-0.6746279277116698,2.3376207245524926e-33,-0.7950451587737047,-0.3442010304859229
