bootstrap_draw,dimension,label,maximizing_layer,maximum_r,depth_gradient
0,comprehension_continuous,Comprehension,13,0.5068907946761407,-0.08170940170940172
0,judgment_continuous,Judgment,18,0.6853079087282445,0.35521367521367525
0,evaluation_continuous,Evaluation,7,0.5860380461834201,0.22256410256410253
0,final_decision_continuous,Final decision,19,0.6177552853547079,0.8776068376068377
0,confidence_continuous,Confidence,23,0.4563129958015626,0.7052991452991453
1,comprehension_continuous,Comprehension,2,0.5781877430165214,-0.654017094017094
1,judgment_continuous,Judgment,5,0.6983476076901609,-0.2246153846153846
1,evaluation_continuous,Evaluation,12,0.5790973039938149,0.05299145299145299
1,final_decision_continuous,Final decision,5,0.6552127284985821,0.3695726495726495
1,confidence_continuous,Confidence,23,0.42241302978775536,0.8714529914529915
2,comprehension_continuous,Comprehension,14,0.535227809741112,-0.5548717948717948
2,judgment_continuous,Judgment,16,0.7089367035470969,-0.037948717948717944
2,evaluation_continuous,Evaluation,9,0.6669499844098105,0.2321367521367521
2,final_decision_continuous,Final decision,21,0.6265030812580215,0.7688888888888888
2,confidence_continuous,Confidence,16,0.4812781496359494,0.8208547008547009
3,comprehension_continuous,Comprehension,14,0.5428253915265929,-0.2957264957264957
3,judgment_continuous,Judgment,5,0.7144952573175235,0.045470085470085464
3,evaluation_continuous,Evaluation,23,0.6800323951747558,0.6854700854700854
3,final_decision_continuous,Final decision,25,0.6501413356759684,0.7251282051282051
3,confidence_continuous,Confidence,16,0.4487834776049147,0.768205128205128
4,comprehension_continuous,Comprehension,13,0.5855202110717654,-0.4673504273504273
4,judgment_continuous,Judgment,14,0.7384830595951523,0.11111111111111109
4,evaluation_continuous,Evaluation,7,0.5940103844805951,0.09606837606837607
4,final_decision_continuous,Final decision,21,0.6869012464670704,0.7613675213675213
4,confidence_continuous,Confidence,16,0.4452262458431867,0.44
5,comprehension_continuous,Comprehension,13,0.583825590611188,-0.5056410256410256
5,judgment_continuous,Judgment,2,0.6873233544704845,-0.48376068376068376
5,evaluation_continuous,Evaluation,6,0.5531531458760933,0.1288888888888889
5,final_decision_continuous,Final decision,16,0.6464511642797591,0.49128205128205127
5,confidence_continuous,Confidence,16,0.37842790547924415,0.7811965811965812
6,comprehension_continuous,Comprehension,13,0.5345277103748708,-0.18974358974358974
6,judgment_continuous,Judgment,2,0.7202692541109258,-0.11111111111111109
6,evaluation_continuous,Evaluation,10,0.6408058298246951,0.2533333333333333
6,final_decision_continuous,Final decision,23,0.6551853591229325,0.40239316239316236
6,confidence_continuous,Confidence,16,0.4618622383074818,0.8352136752136751
