bootstrap_draw,dimension,label,maximizing_layer,maximum_r,depth_gradient
7,comprehension_continuous,Comprehension,14,0.4867752283921598,-0.06598290598290597
7,judgment_continuous,Judgment,4,0.6481322780529855,0.13777777777777778
7,evaluation_continuous,Evaluation,11,0.5834785822650297,0.2834188034188034
7,final_decision_continuous,Final decision,21,0.5941315363882048,0.8229059829059829
7,confidence_continuous,Confidence,16,0.40946732185750584,0.768205128205128
8,comprehension_continuous,Comprehension,15,0.5449312143614274,-0.1152136752136752
8,judgment_continuous,Judgment,13,0.6609901613408853,0.005128205128205127
8,evaluation_continuous,Evaluation,13,0.5688652181352177,0.0899145299145299
8,final_decision_continuous,Final decision,18,0.5785583986496154,0.7777777777777777
8,confidence_continuous,Confidence,23,0.4498354564236367,0.8105982905982906
9,comprehension_continuous,Comprehension,15,0.5657620758167944,-0.20888888888888887
9,judgment_continuous,Judgment,14,0.7229688542345873,-0.14188034188034188
9,evaluation_continuous,Evaluation,13,0.5841021667773818,0.002393162393162393
9,final_decision_continuous,Final decision,16,0.6155713385901558,0.46529914529914523
9,confidence_continuous,Confidence,16,0.4348108806406121,0.6294017094017094
10,comprehension_continuous,Comprehension,13,0.5738556279907465,-0.3524786324786324
10,judgment_continuous,Judgment,13,0.6923517383621013,-0.14051282051282052
10,evaluation_continuous,Evaluation,6,0.603818806440636,0.31555555555555553
10,final_decision_continuous,Final decision,16,0.6260387349132459,0.7894017094017093
10,confidence_continuous,Confidence,16,0.4605790291687083,0.852991452991453
11,comprehension_continuous,Comprehension,13,0.4966476993233295,0.26837606837606837
11,judgment_continuous,Judgment,16,0.7043489166276629,0.13094017094017094
11,evaluation_continuous,Evaluation,23,0.6114532759490141,0.7709401709401709
11,final_decision_continuous,Final decision,21,0.642263357941747,0.7866666666666666
11,confidence_continuous,Confidence,23,0.420068330708813,0.8646153846153846
12,comprehension_continuous,Comprehension,13,0.5491709261462144,-0.2984615384615385
12,judgment_continuous,Judgment,14,0.7441158764503074,-0.18085470085470085
12,evaluation_continuous,Evaluation,10,0.5861531322948421,0.2170940170940171
12,final_decision_continuous,Final decision,16,0.6461089384322605,0.6909401709401709
12,confidence_continuous,Confidence,16,0.45183292170650746,0.7565811965811965
13,comprehension_continuous,Comprehension,14,0.5818459947974265,0.31145299145299143
13,judgment_continuous,Judgment,14,0.7658720282134327,-0.0147008547008547
13,evaluation_continuous,Evaluation,13,0.5553379996738745,0.3292307692307692
13,final_decision_continuous,Final decision,18,0.7279978351376744,0.32717948717948714
13,confidence_continuous,Confidence,16,0.48169690376514995,0.8817094017094015
14,comprehension_continuous,Comprehension,14,0.6087387831396563,0.43589743589743585
14,judgment_continuous,Judgment,16,0.6968031976684176,-0.03658119658119658
14,evaluation_continuous,Evaluation,12,0.6321418880104089,0.2676923076923077
14,final_decision_continuous,Final decision,21,0.6597789826335191,0.7894017094017093
14,confidence_continuous,Confidence,22,0.41327779654556496,0.8536752136752135
15,comprehension_continuous,Comprehension,14,0.5850167642852087,-0.3606837606837607
15,judgment_continuous,Judgment,4,0.6951975774100402,-0.1275213675213675
15,evaluation_continuous,Evaluation,12,0.5856322782602255,0.2717948717948718
15,final_decision_continuous,Final decision,21,0.6655543433276812,0.8201709401709402
15,confidence_continuous,Confidence,16,0.4950755817666813,0.671111111111111
16,comprehension_continuous,Comprehension,14,0.5375111435143146,-0.021538461538461538
16,judgment_continuous,Judgment,16,0.6810840185767022,0.15487179487179487
16,evaluation_continuous,Evaluation,7,0.6623061086254362,0.1623931623931624
16,final_decision_continuous,Final decision,21,0.6438100656328455,0.8728205128205128
16,confidence_continuous,Confidence,23,0.4322834232527028,0.7955555555555555
17,comprehension_continuous,Comprehension,13,0.47158147175826204,-0.377094017094017
17,judgment_continuous,Judgment,14,0.7181046677233377,-0.16034188034188035
17,evaluation_continuous,Evaluation,6,0.554081583885483,0.07555555555555556
17,final_decision_continuous,Final decision,8,0.5953656378045186,0.7586324786324786
17,confidence_continuous,Confidence,23,0.45239689326746263,0.7839316239316239
18,comprehension_continuous,Comprehension,13,0.49126654208521675,0.21641025641025638
18,judgment_continuous,Judgment,13,0.6884514194940371,0.005811965811965812
18,evaluation_continuous,Evaluation,13,0.6106461790631161,0.2300854700854701
18,final_decision_continuous,Final decision,25,0.5679701810017653,0.8406837606837606
18,confidence_continuous,Confidence,16,0.4594608461789199,0.7613675213675213
19,comprehension_continuous,Comprehension,13,0.5040386687883384,-0.31965811965811963
19,judgment_continuous,Judgment,4,0.6717558446756585,-0.11658119658119658
19,evaluation_continuous,Evaluation,23,0.587937735976118,0.5507692307692307
19,final_decision_continuous,Final decision,18,0.5924298106366191,0.8099145299145298
19,confidence_continuous,Confidence,16,0.4345307307191692,0.7415384615384616
20,comprehension_continuous,Comprehension,13,0.5804652053088545,-0.14393162393162393
20,judgment_continuous,Judgment,4,0.693492991937616,-0.483076923076923
20,evaluation_continuous,Evaluation,13,0.586592303881138,0.416068376068376
20,final_decision_continuous,Final decision,21,0.645209548542726,0.5548717948717948
20,confidence_continuous,Confidence,23,0.4322478416652056,0.8482051282051282
21,comprehension_continuous,Comprehension,14,0.5156147174947013,-0.3941880341880341
21,judgment_continuous,Judgment,4,0.7116649578303362,-0.5234188034188034
21,evaluation_continuous,Evaluation,13,0.6192089261913122,0.0030769230769230765
21,final_decision_continuous,Final decision,21,0.6099710724387469,0.643076923076923
21,confidence_continuous,Confidence,16,0.4232351522277857,0.7764102564102563
22,comprehension_continuous,Comprehension,15,0.49512428562375244,0.005811965811965812
22,judgment_continuous,Judgment,14,0.66048088165768,-0.1275213675213675
22,evaluation_continuous,Evaluation,13,0.6161146002404849,0.20820512820512818
22,final_decision_continuous,Final decision,10,0.6181948757191122,0.5473504273504273
22,confidence_continuous,Confidence,16,0.4727813544524682,0.8126495726495726
23,comprehension_continuous,Comprehension,3,0.5062691508266618,-0.7661538461538462
23,judgment_continuous,Judgment,5,0.6884231259141587,0.1822222222222222
23,evaluation_continuous,Evaluation,12,0.5706293173683158,0.0858119658119658
23,final_decision_continuous,Final decision,21,0.6115511904832651,0.4953846153846153
23,confidence_continuous,Confidence,16,0.43420674076155297,0.682051282051282
24,comprehension_continuous,Comprehension,13,0.571166044504808,-0.3709401709401709
24,judgment_continuous,Judgment,14,0.7272553407971286,-0.18017094017094015
24,evaluation_continuous,Evaluation,12,0.614543470216299,0.21367521367521364
24,final_decision_continuous,Final decision,21,0.6468879900617704,0.881025641025641
24,confidence_continuous,Confidence,13,0.45456234612853463,0.26495726495726496
25,comprehension_continuous,Comprehension,13,0.5505932120291196,0.187008547008547
25,judgment_continuous,Judgment,18,0.6830922494069377,0.18837606837606835
25,evaluation_continuous,Evaluation,7,0.5871280799709914,0.39829059829059826
25,final_decision_continuous,Final decision,19,0.6436193397314063,0.8283760683760684
25,confidence_continuous,Confidence,16,0.5076440290916293,0.8297435897435896
26,comprehension_continuous,Comprehension,13,0.5158986264322438,0.3203418803418803
26,judgment_continuous,Judgment,4,0.6639592737320367,0.14666666666666667
26,evaluation_continuous,Evaluation,13,0.6402422620062461,0.11384615384615385
26,final_decision_continuous,Final decision,21,0.6651479848218884,0.7429059829059829
26,confidence_continuous,Confidence,21,0.45573299683649193,0.8878632478632477
27,comprehension_continuous,Comprehension,13,0.5595907615598665,-0.5336752136752136
27,judgment_continuous,Judgment,16,0.6823520192833281,-0.33128205128205124
27,evaluation_continuous,Evaluation,13,0.581458423775326,0.1234188034188034
27,final_decision_continuous,Final decision,18,0.6568011995208568,0.3921367521367521
27,confidence_continuous,Confidence,16,0.5181200918830206,0.7353846153846154
28,comprehension_continuous,Comprehension,13,0.5399232367598477,-0.2663247863247863
28,judgment_continuous,Judgment,14,0.7143106967135954,0.19658119658119655
28,evaluation_continuous,Evaluation,7,0.5981640520189653,0.15555555555555553
28,final_decision_continuous,Final decision,21,0.6550616285687169,0.8516239316239315
28,confidence_continuous,Confidence,16,0.4278336780642852,0.7921367521367522
29,comprehension_continuous,Comprehension,13,0.49453502067345745,-0.32239316239316235
29,judgment_continuous,Judgment,14,0.728148074120066,-0.18837606837606835
29,evaluation_continuous,Evaluation,7,0.6128851828551704,0.07692307692307691
29,final_decision_continuous,Final decision,18,0.6065204553061374,0.7449572649572649
29,confidence_continuous,Confidence,15,0.4167523272259274,0.4803418803418803
30,comprehension_continuous,Comprehension,14,0.544032827697153,0.44478632478632474
30,judgment_continuous,Judgment,18,0.6778024140184281,0.2875213675213675
30,evaluation_continuous,Evaluation,14,0.6307767259276145,-0.0037606837606837602
30,final_decision_continuous,Final decision,25,0.6049070881367246,0.9186324786324785
30,confidence_continuous,Confidence,16,0.4522163929070593,0.7791452991452991
31,comprehension_continuous,Comprehension,16,0.5370316186541954,-0.18769230769230769
31,judgment_continuous,Judgment,4,0.7256185075187033,-0.14940170940170938
31,evaluation_continuous,Evaluation,13,0.6167927368159986,0.4639316239316239
31,final_decision_continuous,Final decision,21,0.6287081612721007,0.7641025641025642
31,confidence_continuous,Confidence,23,0.4434982048995773,0.9042735042735042
32,comprehension_continuous,Comprehension,16,0.5822585728442264,-0.03521367521367521
32,judgment_continuous,Judgment,14,0.7341537872229217,-0.046153846153846156
32,evaluation_continuous,Evaluation,12,0.6282241171354368,0.18564102564102564
32,final_decision_continuous,Final decision,25,0.6740198644239955,0.8215384615384614
32,confidence_continuous,Confidence,16,0.5132794716505545,0.7928205128205127
33,comprehension_continuous,Comprehension,13,0.515851662613481,-0.27247863247863247
33,judgment_continuous,Judgment,16,0.708706739598932,0.05299145299145299
33,evaluation_continuous,Evaluation,13,0.5863297417167841,0.2321367521367521
33,final_decision_continuous,Final decision,18,0.6850743041429274,0.7832478632478632
33,confidence_continuous,Confidence,23,0.4401944201692867,0.7572649572649572
34,comprehension_continuous,Comprehension,13,0.5510319300257935,-0.14256410256410257
34,judgment_continuous,Judgment,14,0.7045058251068123,-0.14940170940170938
34,evaluation_continuous,Evaluation,12,0.5714731868138877,0.30188034188034185
34,final_decision_continuous,Final decision,18,0.6956126606233585,0.7005128205128205
34,confidence_continuous,Confidence,16,0.4275333996586648,0.563076923076923
35,comprehension_continuous,Comprehension,14,0.4922862237042008,0.17059829059829057
35,judgment_continuous,Judgment,14,0.6763731646881807,0.004444444444444444
35,evaluation_continuous,Evaluation,11,0.6206205682577061,0.1282051282051282
35,final_decision_continuous,Final decision,25,0.6283519136804319,0.6964102564102563
35,confidence_continuous,Confidence,16,0.4419944795241562,0.8017094017094016
36,comprehension_continuous,Comprehension,13,0.5899508416175674,-0.5958974358974359
36,judgment_continuous,Judgment,14,0.7174595375387364,-0.13162393162393163
36,evaluation_continuous,Evaluation,12,0.6173125854876798,0.14803418803418802
36,final_decision_continuous,Final decision,18,0.6431564063760474,0.5247863247863247
36,confidence_continuous,Confidence,16,0.4740371625752072,0.7647863247863247
37,comprehension_continuous,Comprehension,15,0.5807631272374295,0.13572649572649573
37,judgment_continuous,Judgment,4,0.7208685128000518,0.09196581196581195
37,evaluation_continuous,Evaluation,7,0.6146704048542172,0.21572649572649572
37,final_decision_continuous,Final decision,21,0.6975162292731141,0.8174358974358973
37,confidence_continuous,Confidence,23,0.4569912496473843,0.852991452991453
38,comprehension_continuous,Comprehension,3,0.47177960003172753,-0.3688888888888889
38,judgment_continuous,Judgment,4,0.7453628655426398,-0.3764102564102564
38,evaluation_continuous,Evaluation,9,0.6095161956765595,-0.05504273504273505
38,final_decision_continuous,Final decision,23,0.6746663132989379,0.7080341880341879
38,confidence_continuous,Confidence,16,0.3652254257731962,0.5295726495726496
39,comprehension_continuous,Comprehension,15,0.5790719046584917,0.30393162393162393
39,judgment_continuous,Judgment,18,0.7206870867798864,0.3572649572649573
39,evaluation_continuous,Evaluation,7,0.5870921736479756,0.1747008547008547
39,final_decision_continuous,Final decision,21,0.6337085190869602,0.8064957264957264
39,confidence_continuous,Confidence,16,0.4544070049980822,0.8249572649572647
40,comprehension_continuous,Comprehension,14,0.5255001996191782,0.0652991452991453
40,judgment_continuous,Judgment,14,0.6987699956422958,-0.08034188034188033
40,evaluation_continuous,Evaluation,7,0.5980528003596475,0.11794871794871793
40,final_decision_continuous,Final decision,23,0.6006750749729789,0.6786324786324787
40,confidence_continuous,Confidence,16,0.4696409453443409,0.7497435897435897
41,comprehension_continuous,Comprehension,13,0.5543396984007041,-0.44820512820512814
41,judgment_continuous,Judgment,4,0.711072576298664,-0.28683760683760684
41,evaluation_continuous,Evaluation,6,0.540766877570445,0.49128205128205127
41,final_decision_continuous,Final decision,16,0.6528764672933293,0.41880341880341876
41,confidence_continuous,Confidence,16,0.3939349656657986,0.7538461538461538
42,comprehension_continuous,Comprehension,13,0.5046382033470227,-0.007179487179487179
42,judgment_continuous,Judgment,14,0.6608792432177222,-0.14666666666666667
42,evaluation_continuous,Evaluation,12,0.568934472066213,0.20478632478632477
42,final_decision_continuous,Final decision,24,0.5720621116023086,0.8523076923076922
42,confidence_continuous,Confidence,16,0.41263839245299266,0.5767521367521368
43,comprehension_continuous,Comprehension,14,0.46770725174544964,0.18017094017094015
43,judgment_continuous,Judgment,5,0.6710115231653128,0.029059829059829054
43,evaluation_continuous,Evaluation,7,0.6379474629828258,0.15487179487179487
43,final_decision_continuous,Final decision,21,0.6107936280442865,0.7059829059829059
43,confidence_continuous,Confidence,16,0.46140482654897297,0.6116239316239316
44,comprehension_continuous,Comprehension,13,0.5202625493629748,0.17128205128205126
44,judgment_continuous,Judgment,4,0.7044138391895838,-0.2622222222222222
44,evaluation_continuous,Evaluation,7,0.5884335828212103,0.2663247863247863
44,final_decision_continuous,Final decision,20,0.6251497716407081,0.6581196581196581
44,confidence_continuous,Confidence,23,0.4592587609730792,0.7565811965811965
45,comprehension_continuous,Comprehension,13,0.4583414776033679,-0.6642735042735042
45,judgment_continuous,Judgment,4,0.6523811621447959,-0.26153846153846155
45,evaluation_continuous,Evaluation,6,0.5399795564981551,0.14803418803418802
45,final_decision_continuous,Final decision,18,0.6058088553246757,0.6047863247863248
45,confidence_continuous,Confidence,16,0.48074452567252146,0.751111111111111
46,comprehension_continuous,Comprehension,15,0.47374487348208216,0.40649572649572646
46,judgment_continuous,Judgment,5,0.6526741028587948,0.34222222222222215
46,evaluation_continuous,Evaluation,7,0.5509378623370245,0.04820512820512819
46,final_decision_continuous,Final decision,25,0.6279810088758161,0.9138461538461539
46,confidence_continuous,Confidence,23,0.3942022347057233,0.8919658119658118
47,comprehension_continuous,Comprehension,13,0.5474226493349342,-0.3545299145299145
47,judgment_continuous,Judgment,14,0.6916235698611408,-0.11179487179487178
47,evaluation_continuous,Evaluation,11,0.5668728584239846,0.10495726495726496
47,final_decision_continuous,Final decision,25,0.6311354100713803,0.831111111111111
47,confidence_continuous,Confidence,16,0.386827887156986,0.4536752136752136
48,comprehension_continuous,Comprehension,13,0.5559064588902353,-0.5029059829059829
48,judgment_continuous,Judgment,14,0.6492600898110927,-0.22324786324786322
48,evaluation_continuous,Evaluation,13,0.5600880645212306,0.27247863247863247
48,final_decision_continuous,Final decision,19,0.6079737403981827,0.5938461538461539
48,confidence_continuous,Confidence,16,0.46555632604177777,0.6991452991452991
49,comprehension_continuous,Comprehension,14,0.5655599255780608,-0.3011965811965812
49,judgment_continuous,Judgment,14,0.7092587221219184,0.10222222222222223
49,evaluation_continuous,Evaluation,7,0.6464832810215942,0.24717948717948715
49,final_decision_continuous,Final decision,21,0.6422665494058554,0.8078632478632478
49,confidence_continuous,Confidence,16,0.43420390797805414,0.8276923076923076
50,comprehension_continuous,Comprehension,0,0.4522774727285657,-0.42358974358974355
50,judgment_continuous,Judgment,4,0.6944819825747026,0.0037606837606837602
50,evaluation_continuous,Evaluation,12,0.5887648234660016,0.28205128205128205
50,final_decision_continuous,Final decision,21,0.6197162211003909,0.7996581196581196
50,confidence_continuous,Confidence,16,0.4812656167200898,0.7627350427350426
51,comprehension_continuous,Comprehension,14,0.5214230766358018,-0.4488888888888889
51,judgment_continuous,Judgment,5,0.7019490670394843,0.3490598290598291
51,evaluation_continuous,Evaluation,6,0.5637726813170029,0.34017094017094013
51,final_decision_continuous,Final decision,21,0.633668286694176,0.8598290598290598
51,confidence_continuous,Confidence,7,0.4192039342182217,0.5145299145299145
52,comprehension_continuous,Comprehension,13,0.5423616924938717,-0.05846153846153846
52,judgment_continuous,Judgment,14,0.7424132674244077,-0.30871794871794866
52,evaluation_continuous,Evaluation,6,0.5801670794778001,-0.09128205128205127
52,final_decision_continuous,Final decision,16,0.6478042892160418,0.6957264957264957
52,confidence_continuous,Confidence,16,0.4756610737126082,0.8003418803418804
53,comprehension_continuous,Comprehension,13,0.5046929766268958,-0.4748717948717948
53,judgment_continuous,Judgment,18,0.6695002881817267,0.0037606837606837602
53,evaluation_continuous,Evaluation,12,0.6294380683137701,-0.06256410256410255
53,final_decision_continuous,Final decision,18,0.5690139261132845,0.8126495726495726
53,confidence_continuous,Confidence,16,0.43657833307120864,0.5692307692307692
54,comprehension_continuous,Comprehension,2,0.4869118692905588,-0.31008547008547005
54,judgment_continuous,Judgment,4,0.671246002538796,-0.2417094017094017
54,evaluation_continuous,Evaluation,12,0.5347944584346005,0.30461538461538457
54,final_decision_continuous,Final decision,18,0.632407208393134,0.7374358974358974
54,confidence_continuous,Confidence,16,0.3949290511813588,0.7415384615384616
55,comprehension_continuous,Comprehension,2,0.5618875777723761,-0.5131623931623931
55,judgment_continuous,Judgment,4,0.6918679001937562,-0.42837606837606834
55,evaluation_continuous,Evaluation,12,0.623409554084224,0.23487179487179485
55,final_decision_continuous,Final decision,18,0.6590081131809675,0.42632478632478626
55,confidence_continuous,Confidence,20,0.4253769915191322,0.7552136752136751
56,comprehension_continuous,Comprehension,13,0.46814519155124934,-0.15145299145299143
56,judgment_continuous,Judgment,4,0.6801056554116581,0.22188034188034186
56,evaluation_continuous,Evaluation,6,0.5641370803069311,0.33196581196581193
56,final_decision_continuous,Final decision,21,0.6265601374117926,0.831111111111111
56,confidence_continuous,Confidence,22,0.46044340907958126,0.8953846153846153
57,comprehension_continuous,Comprehension,14,0.5410283308791778,0.37025641025641026
57,judgment_continuous,Judgment,14,0.6992209100839338,0.26153846153846155
57,evaluation_continuous,Evaluation,9,0.6379413317056243,0.31282051282051276
57,final_decision_continuous,Final decision,21,0.6567758241285394,0.8044444444444444
57,confidence_continuous,Confidence,16,0.44939018181254986,0.8222222222222222
58,comprehension_continuous,Comprehension,13,0.46196893441306536,0.4605128205128205
58,judgment_continuous,Judgment,2,0.6590076787030942,-0.21914529914529915
58,evaluation_continuous,Evaluation,7,0.49625578268256443,0.2239316239316239
58,final_decision_continuous,Final decision,23,0.5666392749118474,0.751111111111111
58,confidence_continuous,Confidence,16,0.4741329366621877,0.4721367521367521
59,comprehension_continuous,Comprehension,16,0.49923195256812963,-0.15076923076923074
59,judgment_continuous,Judgment,2,0.6851908279504819,-0.5685470085470085
59,evaluation_continuous,Evaluation,12,0.5928886112261751,0.17264957264957262
59,final_decision_continuous,Final decision,2,0.6151745558933642,0.1658119658119658
59,confidence_continuous,Confidence,23,0.4480423483078567,0.9323076923076923
60,comprehension_continuous,Comprehension,13,0.4782121566536603,-0.3415384615384615
60,judgment_continuous,Judgment,14,0.7005903635388359,0.10905982905982906
60,evaluation_continuous,Evaluation,12,0.6423576359158215,0.3285470085470085
60,final_decision_continuous,Final decision,18,0.6233053399894452,0.8222222222222222
60,confidence_continuous,Confidence,16,0.49047215611294637,0.7647863247863247
61,comprehension_continuous,Comprehension,14,0.5653422328539432,-0.33948717948717944
61,judgment_continuous,Judgment,13,0.6862954252390442,-0.24376068376068374
61,evaluation_continuous,Evaluation,13,0.5844730100299219,0.3278632478632478
61,final_decision_continuous,Final decision,23,0.6486909259650822,0.9206837606837606
61,confidence_continuous,Confidence,16,0.3984650143013483,0.6854700854700854
62,comprehension_continuous,Comprehension,14,0.5419761431928836,0.13435897435897434
62,judgment_continuous,Judgment,4,0.6177850741241988,0.1747008547008547
62,evaluation_continuous,Evaluation,7,0.5796266724909258,-0.32512820512820506
62,final_decision_continuous,Final decision,18,0.6077863248604987,0.6731623931623931
62,confidence_continuous,Confidence,16,0.43009671402187016,0.7319658119658119
63,comprehension_continuous,Comprehension,16,0.5779446963303982,-0.40717948717948715
63,judgment_continuous,Judgment,14,0.6899231986729889,-0.17128205128205126
63,evaluation_continuous,Evaluation,12,0.6048789443562843,0.42495726495726494
63,final_decision_continuous,Final decision,19,0.6735790312654422,0.7729914529914529
63,confidence_continuous,Confidence,23,0.39312131651081117,0.8174358974358973
64,comprehension_continuous,Comprehension,14,0.5211877355354592,-0.46803418803418795
64,judgment_continuous,Judgment,16,0.7120912186769438,0.019487179487179485
64,evaluation_continuous,Evaluation,12,0.6103265801001522,0.3545299145299145
64,final_decision_continuous,Final decision,21,0.6637923516708588,0.8899145299145298
64,confidence_continuous,Confidence,16,0.4487903070045434,0.7654700854700854
65,comprehension_continuous,Comprehension,14,0.48747159299345655,0.1979487179487179
65,judgment_continuous,Judgment,4,0.7113309749376845,0.022905982905982905
65,evaluation_continuous,Evaluation,13,0.6297947303758926,0.10837606837606836
65,final_decision_continuous,Final decision,21,0.6308362364464863,0.7196581196581195
65,confidence_continuous,Confidence,23,0.45882906083731984,0.896068376068376
66,comprehension_continuous,Comprehension,2,0.5240522310549058,-0.09196581196581195
66,judgment_continuous,Judgment,4,0.7241267262059177,-0.24102564102564097
66,evaluation_continuous,Evaluation,6,0.6251877052665721,-0.09333333333333332
66,final_decision_continuous,Final decision,21,0.6609755911174511,0.8728205128205128
66,confidence_continuous,Confidence,16,0.5093161427807709,0.8646153846153846
67,comprehension_continuous,Comprehension,13,0.5165322677422537,-0.308034188034188
67,judgment_continuous,Judgment,4,0.7054079992752992,-0.2745299145299145
67,evaluation_continuous,Evaluation,13,0.6229196949589468,0.2711111111111111
67,final_decision_continuous,Final decision,21,0.6123222912803081,0.6635897435897435
67,confidence_continuous,Confidence,16,0.45666815219212714,0.8037606837606838
68,comprehension_continuous,Comprehension,13,0.5960738437039456,0.24649572649572649
68,judgment_continuous,Judgment,5,0.7150041503264853,-0.18495726495726494
68,evaluation_continuous,Evaluation,13,0.6093270599824991,0.10427350427350426
68,final_decision_continuous,Final decision,23,0.6822005586102264,0.8776068376068377
68,confidence_continuous,Confidence,16,0.46186251480575496,0.37982905982905973
69,comprehension_continuous,Comprehension,2,0.48364308292743646,-0.30666666666666664
69,judgment_continuous,Judgment,14,0.6597182180492859,-0.3668376068376068
69,evaluation_continuous,Evaluation,23,0.5607288064888789,0.455042735042735
69,final_decision_continuous,Final decision,21,0.5895953960107172,0.7709401709401709
69,confidence_continuous,Confidence,16,0.4301602656658497,0.8577777777777776
70,comprehension_continuous,Comprehension,13,0.5411497616149514,-0.21230769230769228
70,judgment_continuous,Judgment,2,0.7131597087428191,0.055726495726495726
70,evaluation_continuous,Evaluation,12,0.6041359689217108,0.037264957264957266
70,final_decision_continuous,Final decision,23,0.6061424590566882,0.5603418803418803
70,confidence_continuous,Confidence,16,0.49298896713144796,0.7873504273504273
71,comprehension_continuous,Comprehension,2,0.48001588962469693,-0.6909401709401709
71,judgment_continuous,Judgment,2,0.699262954511092,-0.037264957264957266
71,evaluation_continuous,Evaluation,9,0.566341908701528,0.10769230769230768
71,final_decision_continuous,Final decision,2,0.6087679506550868,0.11452991452991453
71,confidence_continuous,Confidence,16,0.4765148469718945,0.7292307692307692
72,comprehension_continuous,Comprehension,0,0.4596020610517676,-0.7353846153846154
72,judgment_continuous,Judgment,5,0.669701168209223,0.018803418803418803
72,evaluation_continuous,Evaluation,13,0.5443595820430598,0.17538461538461536
72,final_decision_continuous,Final decision,23,0.6142201305569197,0.9268376068376067
72,confidence_continuous,Confidence,16,0.4036063903171571,0.8365811965811965
73,comprehension_continuous,Comprehension,13,0.5525975190928777,-0.22735042735042732
73,judgment_continuous,Judgment,14,0.7045267266129779,-0.13504273504273506
73,evaluation_continuous,Evaluation,7,0.6113311475179607,0.17128205128205126
73,final_decision_continuous,Final decision,21,0.6455882055572685,0.8058119658119658
73,confidence_continuous,Confidence,16,0.46951113903365577,0.8010256410256409
74,comprehension_continuous,Comprehension,13,0.53267294476318,-0.4345299145299145
74,judgment_continuous,Judgment,4,0.6364585920847233,-0.10769230769230768
74,evaluation_continuous,Evaluation,10,0.5731062517892342,0.3791452991452991
74,final_decision_continuous,Final decision,18,0.5931647627423138,0.6635897435897435
74,confidence_continuous,Confidence,16,0.4754593753093645,0.7948717948717947
75,comprehension_continuous,Comprehension,15,0.5036764771181116,-0.11863247863247862
75,judgment_continuous,Judgment,4,0.6457860152513353,0.03521367521367521
75,evaluation_continuous,Evaluation,14,0.6373779402145588,0.11111111111111109
75,final_decision_continuous,Final decision,21,0.6296297399742072,0.6724786324786325
75,confidence_continuous,Confidence,23,0.40634618587972543,0.8099145299145298
76,comprehension_continuous,Comprehension,14,0.5062355034990134,-0.26700854700854704
76,judgment_continuous,Judgment,5,0.6872676983226571,0.2772649572649572
76,evaluation_continuous,Evaluation,11,0.5529347069942806,-0.4461538461538461
76,final_decision_continuous,Final decision,5,0.6399959754538261,0.5487179487179487
76,confidence_continuous,Confidence,16,0.41392306303851806,0.8092307692307692
