random_rep,pair_id,source_idx,target_idx,patch_layer,matched_norm,base_prediction,patched_prediction,delta_wsr_predicted,direction_seed,base_source,elapsed_seconds
0,1,368,13,19,100.27535664750594,0.3222584150282147,0.24727215354785273,-0.07498626148036194,1881920964,live_unpatched_same_model,1.247066600015387
0,2,340,186,19,124.14250147738309,0.5517011289529234,0.5760669345999603,0.02436580564703683,2947153536,live_unpatched_same_model,1.234600700030569
0,3,135,70,19,133.86533456399275,-0.0451771379115059,0.05825406416632767,0.10343120207783357,1178822561,live_unpatched_same_model,1.2355393000179902
0,4,441,256,19,103.68385624866029,-0.0309425523201656,0.2592060457073354,0.29014859802750104,427730251,live_unpatched_same_model,1.2491348999901675
0,5,84,407,19,103.17152579354456,0.0701096946469617,0.05346359035830625,-0.016646104288655456,2058175462,live_unpatched_same_model,1.242434800020419
0,6,180,181,19,110.38806055107938,-0.0706881178551478,-0.10426573513327032,-0.03357761727812253,2721434243,live_unpatched_same_model,1.2347067999653518
0,7,442,166,19,108.47418947067077,-0.0374219266130395,0.13629199537264758,0.17371392198568708,2665661335,live_unpatched_same_model,1.246244599984493
0,8,353,336,19,109.08276948497313,0.2334113362848168,0.3283310360693207,0.09491969978450387,2284093980,live_unpatched_same_model,1.2520750000257976
0,9,121,471,19,136.23808812678564,0.1553593319424777,0.014740080145406466,-0.14061925179707124,536776352,live_unpatched_same_model,1.2349704999942333
0,10,145,125,19,85.2051251574838,-0.0414361952716543,0.04387279116423934,0.08530898643589363,3426113952,live_unpatched_same_model,1.2582296999753453
0,11,222,268,19,112.73324134162299,-0.0744144220976672,-0.10721600519650758,-0.032801583098840376,843019233,live_unpatched_same_model,1.242275000025984
0,12,217,403,19,117.51799281220073,0.356841227425656,0.44289699921152603,0.08605577178587004,2407333235,live_unpatched_same_model,1.2411583000211976
0,13,209,443,19,119.69797830784465,-0.0405956674567725,0.11155049328670219,0.1521461607434747,1092310252,live_unpatched_same_model,1.2391340999747626
