quantity,value
l19_mean_delta,-0.11679948602974331
l19_ci95_low,-0.19514324276608103
l19_ci95_high,-0.04257357680957403
l19_exact_signflip_p,0.00811767578125
l19_maxstat_fwer_p,0.071533203125
l20_mean_delta,-0.11947400133976543
reverse_l19_mean_delta,0.0932630373220477
random_direction_monte_carlo_p,0.019801980198019802
other_mp_contrasts_ci_excludes_zero,2.0
raw_wsr_mean,0.0958121380020576
raw_wsr_sd,0.1654014724527008
residualized_wsr_sd,0.15629036778807587
readout_in_sample_r,0.8809782833778865
readout_oof_r,0.27159414967446
