token,members,corpus_count,r_ev,r_fd,delta,r_wsr_l12,r_wsr_l21
came,came,5,-0.3388112303050291,0.06645346627452464,-0.4052646965795537,-0.07747120129604365,-0.04839703394800536
several,several,5,-0.21794750280582656,0.20532556302802535,-0.42327306583385194,-0.10126417648646538,-0.04309807936297759
correct,correct,5,-0.1551877309201009,0.046238476299994835,-0.20142620722009574,0.10865240449006222,0.03707017040171401
based,based,5,-0.33200040897900185,-0.12674984248729573,-0.20525056649170612,-0.040856882712848666,0.06262013311226103
whole,whole,5,-0.1471858506430553,0.21019076974351408,-0.35737662038656937,-0.07022657355350531,-0.1234362570154561
simply,simply,5,-0.3017214860083409,-0.05642793632732637,-0.24529354968101455,-0.1221161611233019,-0.04823013025373063
basically,basically,5,-0.3463767722268871,0.02153802421508932,-0.36791479644197644,-0.11722481261737783,-0.05183486672498367
reliable,reliable,5,-0.20659895567606346,0.14358246710185674,-0.3501814227779202,-0.17435308847248981,-0.12659566319294652
kind,kind,5,-0.33191037869685813,-0.007151241379042135,-0.32475913731781597,-0.13980393865805646,-0.06484597250033779
changing,changing,5,-0.1005969599818051,0.12743426110897943,-0.22803122109078452,-0.04986695443746485,0.002811612611218855
follow,follow,5,-0.2396289523991695,-0.03174266600567814,-0.20788628639349138,-0.05703568312475849,-0.08441010807015581
wait,wait,5,-0.16051107003804538,0.0378345014170127,-0.19834557145505807,-0.09090321119981903,-0.1235479882342331
moving,moving,5,-0.18875620280655925,0.13376003515995724,-0.3225162379665165,-0.1562853316484259,-0.1426838692465292
didnt,didnt,5,-0.25513049569905133,0.05569197851153557,-0.3108224742105869,-0.09466816349935143,-0.04937964921102081
winning,winning,5,0.19767158830154985,0.21150461330697318,-0.013833025005423327,0.047936269870507656,-0.04551533479744295
unless,unless,5,-0.011316334027350893,-0.2724924962725507,0.2611761622451998,-0.09138651936759339,0.05377957749677658
ed,ed,5,-0.2720295328577341,0.1633796488778661,-0.4354091817356002,-0.12678365385586565,-0.11899153543917737
wrong,wrong,5,-0.060715649656421254,0.05807277423371953,-0.11878842389014078,-0.012613258943756298,0.04303173519965586
