target_idx,target_id,live_base_prediction,cached_base_prediction,prediction_difference_live_minus_cached,activation_rmse_live_vs_cached,elapsed_seconds
13.0,120.0,0.3222584150282147,0.3222584150282147,0.0,0.0,1.982637600041926
186.0,437.0,0.5517011289529234,0.5489435961472795,0.0027575328056439,0.0147356262102752,1.2633237999980338
70.0,146.0,-0.0451771379115059,-0.048281785005107,0.0031046470936011,0.0158440046640525,1.2338641999522224
256.0,188.0,-0.0309425523201656,-0.0309425523201656,0.0,0.0,1.2460780999972485
407.0,82.0,0.0701096946469617,0.0701096946469617,0.0,0.0,1.241551499988418
181.0,61.0,-0.0706881178551478,-0.0718940396557204,0.0012059218005725,0.0130354659929152,1.272083800053224
166.0,191.0,-0.0374219266130395,-0.0374219266130395,0.0,0.0,1.2504342999891378
336.0,324.0,0.2334113362848168,0.2334113362848168,0.0,0.0,1.2533003999851644
471.0,262.0,0.1553593319424777,0.1570992377522857,-0.001739905809808,0.0136708575347714,1.234408599964809
125.0,298.0,-0.0414361952716543,-0.0414361952716543,0.0,0.0,1.256357099977322
268.0,79.0,-0.0744144220976672,-0.0744144220976672,0.0,0.0,1.2386626999941657
403.0,485.0,0.356841227425656,0.356841227425656,0.0,0.0,1.238777399994433
443.0,162.0,-0.0405956674567725,-0.0405956674567725,0.0,0.0,1.2378052999847569
267.0,58.0,0.20774430399201,0.2075182328223963,0.0002260711696137,0.0197214854126313,1.2332352999947034
148.0,277.0,0.0040545803889276,0.0040545803889276,0.0,0.0,1.2425409000134096
145.0,360.0,-0.04254313104933144,-0.04254313104933144,0.0,0.0,1.2565811999957077
202.0,196.0,0.36599235769651617,0.36120731726079297,0.004785040435723198,0.01838816494589654,1.2315672999829985
483.0,96.0,-0.07625208349323294,-0.07625208349323294,0.0,0.0,1.2407406000420451
306.0,74.0,0.005506392441159787,0.005506392441159787,0.0,0.0,1.2557962000137195
232.0,45.0,-0.05057095818497123,-0.05057095818497123,0.0,0.0,1.2532676000264473
