bundle,layer,target,coupling_type,n_lemmas,n_subwords,partial_r,ci95_low,ci95_high,p_boot_two_sided
EV-lean,12,matched,matched,11,16,0.29787303548077704,0.2167076811638747,0.37497205835731756,0.0001999600079984003
EV-lean,12,crossed,cross,11,16,0.18637977478277387,0.10067652777332249,0.26966611231173926,0.0001999600079984003
FD-lean,21,matched,matched,18,24,0.2411692162813346,0.16908833357892536,0.3103381595745967,0.0001999600079984003
FD-lean,21,crossed,cross,18,24,0.2811447601398359,0.20591778727891763,0.34797505798169287,0.0001999600079984003
