dimension,layer,token_id,token,corpus_count,filter_status,retained,mean_raw_logit,median_raw_logit,maximum_raw_logit,best_corpus_rank,median_corpus_rank,participants_top10,participants_top50,participants_top100
Evaluation,12,729,was,155,non_content,False,11.8152839179387,13.084286827789088,21.80526703002465,4,71.5,10,145,346
Evaluation,12,731,by,12,non_content,False,11.335035344243224,15.17486470485939,20.811703120076153,7,36.0,4,326,373
Evaluation,12,736,this,5,non_content,False,8.542310901492916,11.833061970288389,19.192001497288828,27,109.0,0,37,223
Evaluation,12,746,for,2,frequency_below_5,False,-0.7679740820666483,0.8444170485723229,6.665022517631865,302,749.5,0,0,0
Evaluation,12,749,do,7,retained,True,6.598012829604084,10.357320764452181,18.170736454704592,24,157.5,0,7,92
Evaluation,12,774,from,15,non_content,False,14.440631648314554,17.51791732718067,23.97423728122836,3,15.0,125,388,397
Evaluation,12,777,',2,frequency_below_5,False,1.8275686759208138,4.373870007906146,10.60104885342652,190,494.0,0,0,0
Evaluation,12,780,not,63,non_content,False,10.448438821062659,13.386291677874553,21.964665788563757,6,66.0,4,183,341
Evaluation,12,783,we,6,non_content,False,6.086768878408038,10.728999970913499,17.747561096860014,29,138.0,0,13,150
Evaluation,12,791,have,17,non_content,False,10.745340114595516,13.119544714611349,19.349134093559723,10,74.0,1,118,346
Evaluation,12,793,no,130,non_content,False,12.61295506464257,14.31074899889403,21.530627081381812,6,46.0,13,293,431
Evaluation,12,794,--,1,frequency_below_5,False,1.822207176801483,4.1740633347153855,10.199315427349848,215,511.0,0,0,0
Evaluation,12,798,can,1,frequency_below_5,False,7.266247426312203,10.526964652568019,16.29735081628684,35,156.0,0,2,87
Evaluation,12,800,sed,1,frequency_below_5,False,-2.522369035132182,-1.6864139518214483,3.086548463136725,571,868.5,0,0,0
Evaluation,12,802,tic,1,frequency_below_5,False,-7.406241751832702,-3.9986120022140312,0.6524619547691641,798,1041.0,0,0,0
Evaluation,12,823,"),",1,frequency_below_5,False,-5.756704316476368,-4.59942836078683,1.3441055367659032,578,1030.0,0,0,0
Evaluation,12,832,all,12,retained,True,11.706835095780383,16.17509876836594,22.46185916123456,4,26.0,24,345,374
Evaluation,12,840,ated,2,frequency_below_5,False,-1.5525046714417534,1.5387408806930867,5.387670221294769,407,716.5,0,0,0
Evaluation,12,842,per,1,frequency_below_5,False,3.1136494365138314,5.892032760643749,11.928943973557319,149,397.0,0,0,0
Evaluation,12,846,).,4,frequency_below_5,False,-8.886127201413586,-7.1158967232165296,-0.39096161453726097,721,1103.0,0,0,0
Evaluation,12,854,red,1,frequency_below_5,False,-4.673402391358532,-3.3457613609364723,1.2158739917860455,710,980.0,0,0,0
Evaluation,12,871,go,15,retained,True,10.781965657666483,12.049440184521982,17.8245252560298,24,93.0,0,46,284
Evaluation,12,877,will,2,frequency_below_5,False,3.2204510547922247,6.689277001725209,13.38739260765256,98,351.5,0,0,1
Evaluation,12,878,In,5,non_content,False,2.1015505978259994,4.027402007268739,9.738652472954309,161,526.5,0,0,0
Evaluation,12,886,In,3,frequency_below_5,False,9.916451681617566,9.881344523926522,16.497945616612913,7,161.5,2,65,159
Evaluation,12,888,new,7,retained,True,8.978980606435059,10.241184975387398,16.531883206725364,21,155.0,0,14,95
Evaluation,12,901,but,34,non_content,False,5.200653654613922,9.339644260046763,17.361449091594707,32,201.0,0,3,48
Evaluation,12,908,up,15,retained,True,13.911964004467126,17.030627464573936,24.256617065809976,2,19.0,97,370,387
Evaluation,12,917,us,1,frequency_below_5,False,-1.8761705008279546,1.7851895748175832,8.766153849038819,310,681.5,0,0,0
Evaluation,12,921,out,25,retained,True,13.120899807482036,16.764252318754266,22.37076007715899,4,20.0,53,361,375
Evaluation,12,931,so,1,frequency_below_5,False,-4.986870105409009,-2.8246726933758417,1.7574339403727193,700,989.5,0,0,0
Evaluation,12,947,get,17,retained,True,10.706621434192714,13.184009664229979,20.15304248247885,13,68.0,0,141,343
Evaluation,12,948,which,21,retained,True,7.655570785901369,10.319889434708049,15.508936172463764,29,172.0,0,5,90
Evaluation,12,955,...,4,frequency_below_5,False,-0.7295147872421244,2.717567703410234,10.798251501666803,223,608.0,0,0,0
Evaluation,12,956,no,60,non_content,False,0.05260057238298768,1.0674607292584712,7.055632074803547,119,689.5,0,0,0
Evaluation,12,959,ti,1,frequency_below_5,False,-7.267835582509433,-4.494474352310302,1.9807772123814005,765,1057.0,0,0,0
Evaluation,12,963,+,15,unreadable,False,0.8614852692746645,3.591312195536765,10.823000301707433,149,550.0,0,0,0
Evaluation,12,970,my,50,non_content,False,5.052718336350347,10.227006077648758,16.61783489548024,27,172.0,0,4,95
Evaluation,12,974,one,151,non_content,False,12.635661931596937,16.245867772200167,21.45572541713084,5,28.0,19,364,381
Evaluation,12,978,more,73,retained,True,11.19913029168286,14.65183217355031,21.579609838391317,4,47.0,5,263,363
Evaluation,12,984,they,73,non_content,False,8.358212585253444,10.982963221582612,17.95122897593714,17,129.0,0,28,177
Evaluation,12,989,dis,2,frequency_below_5,False,-0.6158097236974948,1.7710247730495876,7.0784352407029045,391,688.0,0,0,0
Evaluation,12,1009,some,8,retained,True,11.732037588399166,15.722173015745248,23.249177209673608,1,31.0,23,331,373
Evaluation,12,1013,if,73,non_content,False,8.21019439120794,11.913222387614983,21.034964846381538,5,105.0,3,89,233
Evaluation,12,1024,their,2,frequency_below_5,False,3.279647161640607,6.529392358579781,13.346253974745377,91,360.0,0,0,2
Evaluation,12,1043,ish,1,frequency_below_5,False,-1.515734444790557,1.502452687253475,8.471234532372462,291,716.0,0,0,0
Evaluation,12,1049,were,28,non_content,False,8.834431099937618,9.887463410509596,16.077396322813666,31,173.5,0,6,45
Evaluation,12,1064,who,32,retained,True,4.45720626688887,7.684030427627599,17.1301927445196,14,295.0,0,6,36
Evaluation,12,1069,time,30,non_content,False,10.091697611658143,12.14258118564112,17.09722313597949,16,96.5,0,43,259
Evaluation,12,1089,any,20,retained,True,2.931433825540949,6.1849633126634025,13.548507425880578,100,390.5,0,0,1
Evaluation,12,1093,had,37,non_content,False,8.376715880051385,9.925824563474597,18.463626033861445,15,177.5,0,8,55
Evaluation,12,1104,there,22,non_content,False,6.534761620175922,9.562723878451521,16.329717607805907,29,198.0,0,2,59
