random_rep,mean_delta
0,0.00015859660119420157
1,0.007752890094775595
2,-0.0043444011631383304
3,-0.013139218178074449
4,-0.013919075504762209
5,0.020984259764673566
6,0.014436326975632683
7,0.030998502128011578
8,0.09259124252156568
9,0.0988891900510487
10,0.015188493580483487
11,0.01924628890172039
12,0.06091875928222891
13,0.05062760097428203
14,0.003949437625818361
15,-0.007427570244687128
16,0.012761133143410503
17,-0.002669347723077335
18,-0.01333571641193387
19,0.010699463816992345
20,0.017819616702503184
21,-0.03486584823906082
22,0.0060148449939872225
23,-0.013505705723388623
24,-0.018558889376277234
25,0.0018795338271000203
26,0.050813834818012694
27,0.026955222764881454
28,0.0126378646118629
29,0.01820652701682768
30,0.06513078945991091
31,0.017205051340479716
32,0.018732808005512004
33,-0.0625082355345397
34,-0.012928319265992012
35,0.09668253963030682
36,0.018075475421590905
37,0.013928291139338139
38,-0.0229171076785435
39,0.034248077869650125
40,0.02558746144669089
41,0.03796883713025288
42,0.02354514983007228
43,-0.03933786210134387
44,-0.03879528276176419
45,0.03576669430465335
46,0.013549779345218447
47,0.019209246085809664
48,-0.02063894135645885
49,0.048664279762920905
50,-0.019162138316635224
51,-0.003731811560318085
52,-0.0663891265120209
53,-0.03137189051305015
54,0.0185473444270256
55,-0.05536671977295265
56,-0.06825235964518891
57,0.022824021246084666
58,0.059399115556457494
59,-0.03153362263482223
60,-0.06870340442008586
61,-0.026855814689485398
62,0.025401622401953934
63,-0.013552920629855176
64,0.013133673208017635
65,0.009036809514415498
66,-0.04258772839364204
67,0.054572421707954316
68,0.03620371108120148
69,-0.031176935634877834
70,0.05931836577109688
71,0.011494304266488339
72,-0.04729806778194308
73,0.026022523658744415
74,0.03944587034327139
75,-0.08116754708540704
76,-0.026796329773078352
77,0.03165973179345538
78,-0.021641334963115322
79,-0.019832400211225794
80,-0.0160158249968786
81,0.0479672797466958
82,-0.03308125874889315
83,0.04831640644662594
84,-0.029412569337076644
85,0.007002480582894988
86,0.038148019357407956
87,0.06994068051179675
88,-0.011324461543074059
89,0.020100967165480103
90,-0.047551616736462424
91,-0.04930125694104188
92,-0.023220929058401896
93,-0.015935997422443123
94,-0.15125922341950174
95,-0.014225103577741923
96,0.03636662699429074
97,0.04143793553322644
98,-0.01305461799219146
99,-0.00337695690340895
